nation,o_year,sum_profit
ALGERIA,1998,539481761.1599004
ALGERIA,1997,927437996.5533984
ALGERIA,1996,931055752.632099
ALGERIA,1995,936659726.9812994
ALGERIA,1994,936399224.2132002
ALGERIA,1993,932186877.123501
ALGERIA,1992,938242696.6901013
ARGENTINA,1998,552719886.6470002
ARGENTINA,1997,939797785.8273001
ARGENTINA,1996,934566870.7543002
ARGENTINA,1995,945449762.7006997
ARGENTINA,1994,932296736.1292007
ARGENTINA,1993,936279524.3364013
ARGENTINA,1992,945988023.0466999
BRAZIL,1998,534781361.3263997
BRAZIL,1997,933392235.5948998
BRAZIL,1996,935344319.1489997
BRAZIL,1995,929733805.1034007
BRAZIL,1994,919990050.4896
BRAZIL,1993,932368578.2786001
BRAZIL,1992,929774344.1623995
CANADA,1998,554665771.6046999
CANADA,1997,944372679.3630995
CANADA,1996,951828636.9087
CANADA,1995,943045891.974901
CANADA,1994,935515126.1881998
CANADA,1993,947203173.0289994
CANADA,1992,936499018.0850003
CHINA,1998,547678041.2964004
CHINA,1997,931694791.7587011
CHINA,1996,929049717.2464007
CHINA,1995,922240989.5753006
CHINA,1994,927753936.4064
CHINA,1993,928152210.5747001
CHINA,1992,941299484.4768007
EGYPT,1998,547140963.0544002
EGYPT,1997,944294765.7823001
EGYPT,1996,944164354.6284996
EGYPT,1995,946749756.1561002
EGYPT,1994,946569313.1804997
EGYPT,1993,939583574.9637985
EGYPT,1992,948174538.9908003
ETHIOPIA,1998,540073838.7701001
ETHIOPIA,1997,923146073.6047999
ETHIOPIA,1996,929372446.1193002
ETHIOPIA,1995,929341437.5401988
ETHIOPIA,1994,938312407.0712998
ETHIOPIA,1993,932939758.1628997
ETHIOPIA,1992,934585823.911499
FRANCE,1998,535075304.7641001
FRANCE,1997,922344848.5564004
FRANCE,1996,910576387.6176991
FRANCE,1995,916741666.7733006
FRANCE,1994,915471654.612201
FRANCE,1993,908154184.0399001
FRANCE,1992,911376735.0499005
GERMANY,1998,564320024.7430997
GERMANY,1997,960998071.6248988
GERMANY,1996,962193539.6424993
GERMANY,1995,944443539.5817993
GERMANY,1994,962587099.6261007
GERMANY,1993,961540073.7821
GERMANY,1992,962733750.1312003
INDIA,1998,549206765.0867995
INDIA,1997,934413961.0097
INDIA,1996,935060592.5800998
INDIA,1995,931882733.2539
INDIA,1994,942834613.4168986
INDIA,1993,949280309.6084999
INDIA,1992,935032464.6699989
INDONESIA,1998,544641445.1934001
INDONESIA,1997,938195449.458199
INDONESIA,1996,933148258.6931001
INDONESIA,1995,932515254.0319991
INDONESIA,1994,932146659.4122
INDONESIA,1993,930425360.069
INDONESIA,1992,932023985.7053994
IRAN,1998,549573399.7729995
IRAN,1997,941130857.0273001
IRAN,1996,937823931.1705999
IRAN,1995,953397353.5728005
IRAN,1994,945172593.5136
IRAN,1993,933442500.6877999
IRAN,1992,935950945.6989999
IRAQ,1998,543411887.2112994
IRAQ,1997,940780368.9928999
IRAQ,1996,938054137.3441997
IRAQ,1995,928284807.3655007
IRAQ,1994,942327977.6903999
IRAQ,1993,925588996.5662998
IRAQ,1992,939401832.6699994
JAPAN,1998,541213474.1901996
JAPAN,1997,937984976.2260994
JAPAN,1996,937826355.8119007
JAPAN,1995,940794732.0470003
JAPAN,1994,929346467.8848997
JAPAN,1993,937448416.3095
JAPAN,1992,943418655.9958003
JORDAN,1998,532309963.81860006
JORDAN,1997,920305633.4646013
JORDAN,1996,914948284.9354005
JORDAN,1995,917848829.9348998
JORDAN,1994,918932168.6345001
JORDAN,1993,913886281.9673989
JORDAN,1992,920122601.5553002
KENYA,1998,552502498.7741998
KENYA,1997,934967601.451502
KENYA,1996,940921357.4908998
KENYA,1995,939201158.8408003
KENYA,1994,942965705.8023006
KENYA,1993,935174984.9566007
KENYA,1992,936897230.8065004
MOROCCO,1998,550719696.7839003
MOROCCO,1997,932565001.5463995
MOROCCO,1996,954150735.8760989
MOROCCO,1995,945387459.1116008
MOROCCO,1994,950525177.5694995
MOROCCO,1993,934717580.1797009
MOROCCO,1992,947456505.8276013
MOZAMBIQUE,1998,541578625.0618997
MOZAMBIQUE,1997,924370082.9341993
MOZAMBIQUE,1996,925770963.1473013
MOZAMBIQUE,1995,927710569.6566994
MOZAMBIQUE,1994,921107271.8053999
MOZAMBIQUE,1993,918096111.8730006
MOZAMBIQUE,1992,929316839.0630003
PERU,1998,549421562.7372994
PERU,1997,940153644.3396003
PERU,1996,934058656.7173989
PERU,1995,929270469.5656013
PERU,1994,945635453.4051
PERU,1993,943171168.5396998
PERU,1992,945198712.2411003
ROMANIA,1998,543853788.1882998
ROMANIA,1997,927961517.3375009
ROMANIA,1996,921717057.4731002
ROMANIA,1995,927374321.354101
ROMANIA,1994,934876708.6335002
ROMANIA,1993,921130660.1420999
ROMANIA,1992,928123860.5428995
RUSSIA,1998,543615456.0764003
RUSSIA,1997,927891910.3697003
RUSSIA,1996,922518440.1308997
RUSSIA,1995,923127788.8941997
RUSSIA,1994,927583346.5346992
RUSSIA,1993,923749993.6867003
RUSSIA,1992,909675936.4433
SAUDI ARABIA,1998,552371501.4936999
